name,title,level,facing,categories,description,detail,remediation,metadata,cache_key
unindexed_foreign_keys,Unindexed foreign keys,INFO,EXTERNAL,"[""PERFORMANCE""]","Identifies foreign key constraints without a covering index, which can impact database performance.",Table \`public.widget_config_events\` has a foreign key \`widget_config_events_user_id_fkey\` without a covering index. This can lead to suboptimal query performance.,https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys,"{""name"":""widget_config_events"",""type"":""table"",""schema"":""public"",""fkey_name"":""widget_config_events_user_id_fkey"",""fkey_columns"":[4]}",unindexed_foreign_keys_public_widget_config_events_widget_config_events_user_id_fkey
unindexed_foreign_keys,Unindexed foreign keys,INFO,EXTERNAL,"[""PERFORMANCE""]","Identifies foreign key constraints without a covering index, which can impact database performance.",Table \`public.widget_config_events\` has a foreign key \`widget_config_events_widget_config_id_fkey\` without a covering index. This can lead to suboptimal query performance.,https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys,"{""name"":""widget_config_events"",""type"":""table"",""schema"":""public"",""fkey_name"":""widget_config_events_widget_config_id_fkey"",""fkey_columns"":[2]}",unindexed_foreign_keys_public_widget_config_events_widget_config_events_widget_config_id_fkey
unindexed_foreign_keys,Unindexed foreign keys,INFO,EXTERNAL,"[""PERFORMANCE""]","Identifies foreign key constraints without a covering index, which can impact database performance.",Table \`public.widget_configs\` has a foreign key \`widget_configs_created_by_fkey\` without a covering index. This can lead to suboptimal query performance.,https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys,"{""name"":""widget_configs"",""type"":""table"",""schema"":""public"",""fkey_name"":""widget_configs_created_by_fkey"",""fkey_columns"":[8]}",unindexed_foreign_keys_public_widget_configs_widget_configs_created_by_fkey
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_widget_configs_project\` on table \`public.widget_configs\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""widget_configs"",""type"":""table"",""schema"":""public""}",unused_index_public_widget_configs_idx_widget_configs_project
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_feedback_project_is_read\` on table \`public.feedback\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""feedback"",""type"":""table"",""schema"":""public""}",unused_index_public_feedback_idx_feedback_project_is_read
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_feedback_project_archived\` on table \`public.feedback\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""feedback"",""type"":""table"",""schema"":""public""}",unused_index_public_feedback_idx_feedback_project_archived
unused_index,Unused Index,INFO,EXTERNAL,"[""PERFORMANCE""]",Detects if an index has never been used and may be a candidate for removal.,Index \`idx_feedback_tags_gin\` on table \`public.feedback\` has not been used,https://supabase.com/docs/guides/database/database-linter?lint=0005_unused_index,"{""name"":""feedback"",""type"":""table"",""schema"":""public""}",unused_index_public_feedback_idx_feedback_tags_gin
